"","waldStat","df","pvalue","logFC1_2","logFC1_3","logFC1_4","logFC1_5","logFC2_3","logFC2_4","logFC2_5","logFC3_4","logFC3_5","logFC4_5","feature_id"
"Cst3",1222.04514384566,4,0,2.1544258342083,1.0975908390784,2.06284476270889,-1.63830578464551,-1.05683499512991,-0.0915810714994171,-3.79273161885381,0.965253923630489,-2.7358966237239,-3.70115054735439,"Cst3"
"Car2",1056.01407565233,4,0,-2.56167082321236,0.644234606611302,-2.42235151601118,2.97761403933586,3.20590542982366,0.139319307201182,5.53928486254822,-3.06658612262248,2.33337943272456,5.39996555534704,"Car2"
"Psap",753.68744441448,4,0,1.33089386420665,1.0738103504043,1.56325076964976,-2.29510083186645,-0.257083513802347,0.23235690544311,-3.62599469607309,0.489440419245457,-3.36891118227074,-3.8583516015162,"Psap"
"Coro1a",744.186552536784,4,0,2.81941513665162,0.114535227193442,2.7975740990281,-1.00641303802608,-2.70487990945817,-0.0218410376235159,-3.8258281746777,2.68303887183466,-1.12094826521952,-3.80398713705418,"Coro1a"
"Ncl",702.26431715361,4,0,-1.99418352636424,-0.866028313864413,-1.95920359598676,-0.0671168323344459,1.12815521249982,0.0349799303774778,1.92706669402979,-1.09317528212235,0.798911481529967,1.89208676365231,"Ncl"
"Cd52",679.441078119145,4,0,3.36205669650197,3.71408092128079,3.85097953988124,-0.916650435315629,0.352024224778825,0.488922843379272,-4.2787071318176,0.136898618600448,-4.63073135659642,-4.76762997519687,"Cd52"
"Vim",631.268718894345,4,0,3.36109766637596,3.10936811900943,2.87671407130091,-1.42011872203122,-0.25172954736653,-0.484383595075052,-4.78121638840717,-0.232654047708522,-4.52948684104064,-4.29683279333212,"Vim"
"Nrgn",587.018859931013,4,0,2.25019522436605,-2.16565177725755,2.30682913866524,3.52843270056753,-4.4158470016236,0.0566339142991976,1.27823747620149,4.47248091592279,5.69408447782508,1.22160356190229,"Nrgn"
"Crip1",573.769465677547,4,0,1.89363538667158,0.0751294740506199,1.65085288334466,-1.4427476016428,-1.81850591262096,-0.242782503326918,-3.33638298831438,1.57572340929404,-1.51787707569342,-3.09360048498746,"Crip1"
"H2-Ab1",565.880179620476,4,0,4.4641069844536,3.56981847080202,4.81527535308122,-1.13516817464039,-0.894288513651585,0.351168368627616,-5.59927515909399,1.2454568822792,-4.70498664544241,-5.95044352772161,"H2-Ab1"
