"","waldStat","df","pvalue","logFClineage1","logFClineage2","logFClineage3","logFClineage4","logFClineage5","feature_id"
"Prtn3",866.069409169234,5,0,-0.430021955590143,-0.164928909317089,-0.484181142810102,-0.398752358440298,-0.284154906919068,"Prtn3"
"Mpo",857.703139830589,5,0,-0.319686149786954,-0.13672279711049,-0.515592956656095,-0.432922124511881,-0.332374307773949,"Mpo"
"H2afy",646.298621860634,5,0,0.102838036192839,-0.134819046219775,-0.511198037457406,-0.530276658685293,-0.258054956281482,"H2afy"
"Ctsg",614.287463983342,5,0,-0.348394645564507,-0.100467048096177,-0.496693257694186,-0.362960743956942,-0.299654196624106,"Ctsg"
"Eef1a1",490.611817300397,5,0,0.550682678777193,0.375400293134065,0.137065871437495,-0.0689685109916133,0.498760068408539,"Eef1a1"
"Tubb5",477.67416089424,5,0,-0.0839050025166305,-0.280414828923215,-0.535083921308524,-0.342069248745674,-0.264356294268277,"Tubb5"
"Ube2c",441.113741178754,5,0,-0.580677686664062,-0.571084751710036,-0.96803273396297,-0.57961697735278,-0.662478663600423,"Ube2c"
"H2afx",438.234485815589,5,0,-0.288629770444904,-0.517340200533728,-0.696492971972726,-0.475019328818484,-0.454020263249961,"H2afx"
"Rpl23",437.992055091208,5,0,0.538810962945685,0.526497034276558,0.418237869609323,0.15144333435564,0.620426908552404,"Rpl23"
"Lgals1",392.113980028999,5,0,-0.19502907973731,-0.391179912458744,-0.409089901618243,-0.414864339575267,-0.423119419891368,"Lgals1"
"Car2",389.464494442294,5,0,0.19311895346844,0.821724087344627,0.735612701379303,0.723821531475308,0.875907907056031,"Car2"
"Hp",386.867431326112,5,0,-0.787984556932748,-0.0445740329744538,-0.346617207338087,-0.112309377549239,-0.071313117431192,"Hp"
"Pkm2",384.303321911654,5,0,-0.234341866319195,-0.1851245877693,-0.418110021293273,-0.296302476366502,-0.338191590692968,"Pkm2"
"Calr",376.815453039351,5,0,-0.208520030706418,-0.0694619808952205,-0.284265167062407,-0.268895104266615,-0.0848173332844525,"Calr"
"Elane",369.800569353319,5,0,-0.642621740667374,0.26415816074869,-0.0271305450036128,-0.101572070541053,0.0298673937437592,"Elane"
"Cenp-a;Cenpa",362.284705111207,5,0,-0.443536642093593,-0.431879542726384,-0.546724016460622,-0.441007555013392,-0.547750506472278,"Cenp-a;Cenpa"
"Coro1a",348.932502880097,5,0,-0.139509628701204,-0.116168539627481,-0.370577970196102,-0.271965271662848,-0.327141779516205,"Coro1a"
"Cst3",342.846559454875,5,0,-0.0607241662745848,-0.23322200788343,-0.421648709931416,-0.416186717636985,-0.215036298682721,"Cst3"
"Cdca3",331.122887503724,5,0,-0.376040199717889,-0.411025220173995,-0.80286893694807,-0.389098407541241,-0.537033071508469,"Cdca3"
"AK156292;V00821;AI324046;Ighg1;AK135975;Igh;Ighg;J00476;Igh-A (1g2);Gm16844;AK036494;M34473;abParts;M13680;M12570;V00757;M36767;X73024",330.855976570251,5,0,-0.0411712178303962,-0.417757696191157,-0.725467184278844,-0.549272998105547,-0.854425188358268,"AK156292;V00821;AI324046;Ighg1;AK135975;Igh;Ighg;J00476;Igh-A (1g2);Gm16844;AK036494;M34473;abParts;M13680;M12570;V00757;M36767;X73024"
"Tuba1c",323.566965101565,5,0,-0.366739738540523,-0.465205088746129,-0.773747137680588,-0.483624804685895,-0.520421855940875,"Tuba1c"
"Irf8",315.407028130668,5,0,-0.160386462863909,-0.717197038074953,-0.744853066367475,-0.556179469466306,-0.826119055425729,"Irf8"
"Hmgb2",308.816040104945,5,0,-0.280016922131217,-0.356563926719615,-0.599758414131222,-0.290976095086841,-0.286153636854509,"Hmgb2"
